Address,x_coord,y_coord,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2
25 W 47TH ST ,1176893.65961,1873748.89933,1472,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS BEETHOVEN, LUDWIG V.",25 W 47TH ST ,60609,5351480,,,,,,,CHICAGO PUBLIC SCHOOLS,GRAND BOULEVARD,,,,,Ms. Dyrice Garner,Yes,No,No,,,,,,,,,,
7500 S PULASKI RD ,1150247.28512,1854788.80365,1405,chapin_dfss_providers_2011_070212.csv,BOARD TRUSTEES-CITY COLLEGES OF CHICAGO DALEY COLLEGE,7500 S PULASKI RD ,60652,8387562,,,,,,,BOARD TRUSTEES-CITY COLLEGES OF CHICAGO,WEST LAWN,,,,,Maria Sanchez,Yes,No,No,4387PS(Child Care PS Center & State Pre-K),,,,,,,,,
6422 S KEDZIE AVE ,1156089.18919,1861749.23884,814,CPS_Early_Childhood_Portal_scrape.csv, Metropolitan Family Services - Midway Head Start Center,6422 S Kedzie Ave ,,7374790,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
222 E 87TH ST ,1179406.02016,1847445.43637,1871,chapin_dfss_providers_2011_070212.csv,SALVATION ARMY FCCH-JESSICA HINTON,222 E 87TH ST ,60619,7982000,,,,,,,SALVATION ARMY,CHATHAM,,,,,Kelli Kemp,No,Yes,No,"6106IP(EHS Collaboration Enhanced Home IP), 6106IT(EHS Enhan",,,,,,,,,
5701 W DIVISION ST ,1138072.74311,1907362.53851,1632,chapin_dfss_providers_2011_070212.csv,EASTER SEALS SOCIETY OF METROPOLITAN CHICAGO CHANNINGS CHILD CARE,5701 W DIVISION ST ,60651,4572990,,,,,,,EASTER SEALS SOCIETY OF METROPOLITAN CHICAGO,AUSTIN,,,,,Ruth Kimble,Yes,No,No,,,,,,,,,,
5242 W NORTH AVE ,1141026.24002,1910239.43328,2138,DFSS_AgencySiteLies_2012.csv,Easter Seals Society of Metropolitan Chicago Rachel's Learning Center #2,5242 W North Ave ,60639,2371444,,,,,,,Easter Seals Society of Metropolitan Chicago,,,,,,,,,,,www.easterseaslchicago.org,Barbara Zawacki,Rochelle Ray,,,,,,
2401 S WABASH AVE ,1177217.82046,1888388.80765,71,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - Hillard House / Henry Booth,2401 S Wabash Ave ,,7919710,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
2300 W 64TH ST ,1162012.54311,1862285.63851,1487,chapin_dfss_providers_2011_070212.csv,CHICAGO PUBLIC SCHOOLS CLAREMONT MATH AND SCIENCE ACADEMY,2300 W 64TH ST ,60636,5358110,,,,,,,CHICAGO PUBLIC SCHOOLS,CHICAGO LAWN,,,,,Mrs. Rebecca L.  Stinson,Yes,No,No,,,,,,,,,,
4500 S SAWYER AVE ,1155376.46559,1874545.39316,1423,chapin_dfss_providers_2011_070212.csv,CAROLE ROBERTSON CENTER FOR LEARNING FCCH-MARIA CEPEDA,4500 S SAWYER AVE ,60632,,,,,,,,CAROLE ROBERTSON CENTER FOR LEARNING,BRIGHTON PARK,,,,,Jolene Martin,No,No,No,"5976PS(HS Collaboration with Childcare Homes), 5976IP(EHS Co",,,,,,,,,
2921 W DIVISION ST ,1156584.19784,1907750.52587,673,CPS_Early_Childhood_Portal_scrape.csv, Lutheran Social Services of Illinois - Trinidad / LSSI,2921 W Division St ,,2789332,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
